thread_id,phase,start_ns,end_ns,duration_ns
-2,ckpt_trigger,431814853705172,431814853905469,200297
-1,ckpt_dispatch_wait,431814853765215,431814853908815,143600
-2,ckpt_sync,431814853908685,431814853930096,21411
-1,dump_memory,431814853952589,431814854300876,348287
-1,dump_global,431814854301608,431814854341784,40176
-1,dump_pc,431814854342085,431814854359798,17713
-1,dump_stack_type_stack,431814854390916,431814854419951,29035
-1,dump_stack_frame_data,431814854390816,431814854420392,29576
-1,dump_stack_type_stack,431814854468363,431814854488992,20629
-1,dump_stack_frame_data,431814854468263,431814854489553,21290
-1,dump_stack_frames,431814854360129,431814854516353,156224
-1,dump_stack_frame_count,431814854516534,431814854555167,38633
-1,dump_stack,431814854359958,431814854555508,195550
-1,dump_thread_state,431814854555608,431814854584182,28574
-1,dump_total,431814853947399,431814854584362,636963
-2,ckpt_total,431814853705172,431814854599000,893828
