thread_id,phase,start_ns,end_ns,duration_ns
-2,restore_signal,450633772024387,450633772025149,762
-2,restore_thread_state_load,450633772029236,450633772063070,33834
-2,restore_spawn_workers,450633772065364,450633772065394,30
-1,restore_stack,450633772069853,450633772105911,36058
-1,restore_memory,450633772107955,450633772245004,137049
-1,restore_global,450633772245555,450633772253520,7965
-1,restore_pc,450633772253660,450633772259060,5400
-1,restore_core,450633772107885,450633772259170,151285
-2,restore_wait_all_threads,450633772265232,450633772265262,30
-2,restore_sync_thread_create,450633772266835,450633772464118,197283
-2,restore_waiting_run_main,450633772298906,450633772490718,191812
-2,restore_total_main,450633772023506,450633772494885,471379
